SYMB,DATE,HORA,VWAP
ACN,2020-10-13,11:25:00,230.7619
ACN,2020-10-13,11:30:00,230.7609
ACN,2020-10-13,11:35:00,230.7626
ACN,2020-10-13,11:40:00,230.7602
ACN,2020-10-13,11:45:00,230.7454
ACN,2020-10-13,11:50:00,230.7404
ACN,2020-10-13,11:55:00,230.7381
ACN,2020-10-13,12:00:00,230.7362
ACN,2020-10-13,12:05:00,230.735
ACN,2020-10-13,12:10:00,230.7327
ACN,2020-10-13,12:15:00,230.7154
ACN,2020-10-13,12:20:00,230.7036
ACN,2020-10-13,12:25:00,230.6972
ACN,2020-10-13,12:30:00,230.6858
ACN,2020-10-13,12:35:00,230.6688
ACN,2020-10-13,12:40:00,230.6297
ACN,2020-10-13,12:45:00,230.6129
ACN,2020-10-13,12:50:00,230.6028
ACN,2020-10-13,12:55:00,230.5878
ACN,2020-10-13,13:00:00,230.5795
ACN,2020-10-13,13:05:00,230.5584
ACN,2020-10-13,13:10:00,230.5213
ACN,2020-10-13,13:15:00,230.5094
ACN,2020-10-13,13:20:00,230.5018
ACN,2020-10-13,13:25:00,230.491
ACN,2020-10-13,13:30:00,230.4837
ACN,2020-10-13,13:35:00,230.4787
ACN,2020-10-13,13:40:00,230.4753
ACN,2020-10-13,13:45:00,230.4705
ACN,2020-10-13,13:50:00,230.4666
ACN,2020-10-13,13:55:00,230.4574
ACN,2020-10-13,14:00:00,230.4487
ACN,2020-10-13,14:05:00,230.4389
ACN,2020-10-13,14:10:00,230.4301
ACN,2020-10-13,14:15:00,230.4245
ACN,2020-10-13,14:20:00,230.4188
ACN,2020-10-13,14:25:00,230.4103
ACN,2020-10-13,14:30:00,230.3986
ACN,2020-10-13,14:35:00,230.3838
ACN,2020-10-13,14:40:00,230.3575
ACN,2020-10-13,14:45:00,230.2649
ACN,2020-10-13,14:50:00,230.2496
ACN,2020-10-13,14:55:00,230.2355
ACN,2020-10-13,15:00:00,230.2275
ACN,2020-10-13,15:05:00,230.2186
ACN,2020-10-13,15:10:00,230.2109
ACN,2020-10-13,15:15:00,230.2063
ACN,2020-10-13,15:20:00,230.2013
ACN,2020-10-13,15:25:00,230.197
ACN,2020-10-13,15:30:00,230.1926
ACN,2020-10-13,15:35:00,230.1879
ACN,2020-10-13,15:40:00,230.1782
ACN,2020-10-13,15:45:00,230.1722
ACN,2020-10-13,15:50:00,230.1611
ACN,2020-10-13,15:55:00,230.1434
ACN,2020-10-13,16:00:00,230.1017
ACN,2020-10-13,16:05:00,230.0769
ACN,2020-10-13,16:10:00,230.0767
ACN,2020-10-14,09:30:00,228.98
ACN,2020-10-14,09:35:00,228.993
ACN,2020-10-14,09:40:00,229.1199
ACN,2020-10-14,09:45:00,229.2134
ACN,2020-10-14,09:50:00,229.324
ACN,2020-10-14,09:55:00,229.4368
ACN,2020-10-14,10:00:00,229.5698
ACN,2020-10-14,10:05:00,229.7155
ACN,2020-10-14,10:10:00,229.802
ACN,2020-10-14,10:15:00,229.9077
ACN,2020-10-14,10:20:00,229.9872
ACN,2020-10-14,10:25:00,230.0245
ACN,2020-10-14,10:30:00,230.0469
ACN,2020-10-14,10:35:00,230.0596
ACN,2020-10-14,10:40:00,230.0785
ACN,2020-10-14,10:45:00,230.0966
ACN,2020-10-14,10:50:00,230.133
ACN,2020-10-14,10:55:00,230.2179
ACN,2020-10-14,11:00:00,230.2929
ACN,2020-10-14,11:05:00,230.3285
ACN,2020-10-14,11:10:00,230.3742
ACN,2020-10-14,11:15:00,230.4211
ACN,2020-10-14,11:20:00,230.4666
ACN,2020-10-14,11:25:00,230.487
ACN,2020-10-14,11:30:00,230.5216
ACN,2020-10-14,11:35:00,230.5499
ACN,2020-10-14,11:40:00,230.5748
ACN,2020-10-14,11:45:00,230.6268
ACN,2020-10-14,11:50:00,230.6428
ACN,2020-10-14,11:55:00,230.6409
ACN,2020-10-14,12:00:00,230.635
ACN,2020-10-14,12:05:00,230.631
