SYMB,DATE,HORA,VWAP
MMM,2020-10-13,11:00:00,168.3681
MMM,2020-10-13,11:05:00,168.3246
MMM,2020-10-13,11:10:00,168.2787
MMM,2020-10-13,11:15:00,168.2371
MMM,2020-10-13,11:20:00,168.2137
MMM,2020-10-13,11:25:00,168.1811
MMM,2020-10-13,11:30:00,168.1498
MMM,2020-10-13,11:35:00,168.1186
MMM,2020-10-13,11:40:00,168.0605
MMM,2020-10-13,11:45:00,168.0263
MMM,2020-10-13,11:50:00,167.9921
MMM,2020-10-13,11:55:00,167.9716
MMM,2020-10-13,12:00:00,167.9607
MMM,2020-10-13,12:05:00,167.9486
MMM,2020-10-13,12:10:00,167.9311
MMM,2020-10-13,12:15:00,167.9043
MMM,2020-10-13,12:20:00,167.8894
MMM,2020-10-13,12:25:00,167.8837
MMM,2020-10-13,12:30:00,167.8704
MMM,2020-10-13,12:35:00,167.8549
MMM,2020-10-13,12:40:00,167.8414
MMM,2020-10-13,12:45:00,167.8318
MMM,2020-10-13,12:50:00,167.8252
MMM,2020-10-13,12:55:00,167.8174
MMM,2020-10-13,13:00:00,167.8145
MMM,2020-10-13,13:05:00,167.809
MMM,2020-10-13,13:10:00,167.8013
MMM,2020-10-13,13:15:00,167.7924
MMM,2020-10-13,13:20:00,167.7851
MMM,2020-10-13,13:25:00,167.7694
MMM,2020-10-13,13:30:00,167.7573
MMM,2020-10-13,13:35:00,167.7519
MMM,2020-10-13,13:40:00,167.7482
MMM,2020-10-13,13:45:00,167.7432
MMM,2020-10-13,13:50:00,167.7402
MMM,2020-10-13,13:55:00,167.737
MMM,2020-10-13,14:00:00,167.7322
MMM,2020-10-13,14:05:00,167.7262
MMM,2020-10-13,14:10:00,167.7227
MMM,2020-10-13,14:15:00,167.7204
MMM,2020-10-13,14:20:00,167.7171
MMM,2020-10-13,14:25:00,167.7124
MMM,2020-10-13,14:30:00,167.705
MMM,2020-10-13,14:35:00,167.6803
MMM,2020-10-13,14:40:00,167.6562
MMM,2020-10-13,14:45:00,167.6363
MMM,2020-10-13,14:50:00,167.6128
MMM,2020-10-13,14:55:00,167.6023
MMM,2020-10-13,15:00:00,167.572
MMM,2020-10-13,15:05:00,167.5632
MMM,2020-10-13,15:10:00,167.5573
MMM,2020-10-13,15:15:00,167.5475
MMM,2020-10-13,15:20:00,167.5385
MMM,2020-10-13,15:25:00,167.5311
MMM,2020-10-13,15:30:00,167.5228
MMM,2020-10-13,15:35:00,167.5082
MMM,2020-10-13,15:40:00,167.5017
MMM,2020-10-13,15:45:00,167.4967
MMM,2020-10-13,15:50:00,167.4841
MMM,2020-10-13,15:55:00,167.4693
MMM,2020-10-13,16:00:00,167.4124
MMM,2020-10-13,16:05:00,167.3899
MMM,2020-10-13,16:10:00,167.3899
MMM,2020-10-13,19:25:00,167.3898
MMM,2020-10-14,08:05:00,166.49
MMM,2020-10-14,08:25:00,166.49
MMM,2020-10-14,08:40:00,166.4682
MMM,2020-10-14,09:00:00,166.4811
MMM,2020-10-14,09:10:00,166.5501
MMM,2020-10-14,09:35:00,167.6331
MMM,2020-10-14,09:40:00,167.6577
MMM,2020-10-14,09:45:00,167.6978
MMM,2020-10-14,09:50:00,167.8251
MMM,2020-10-14,09:55:00,167.9097
MMM,2020-10-14,10:00:00,167.9569
MMM,2020-10-14,10:05:00,168.0422
MMM,2020-10-14,10:10:00,168.0686
MMM,2020-10-14,10:15:00,168.1265
MMM,2020-10-14,10:20:00,168.1695
MMM,2020-10-14,10:25:00,168.2415
MMM,2020-10-14,10:30:00,168.2722
MMM,2020-10-14,10:35:00,168.3014
MMM,2020-10-14,10:40:00,168.3346
MMM,2020-10-14,10:45:00,168.3551
MMM,2020-10-14,10:50:00,168.3745
MMM,2020-10-14,10:55:00,168.3854
MMM,2020-10-14,11:00:00,168.3967
MMM,2020-10-14,11:05:00,168.3997
MMM,2020-10-14,11:10:00,168.4151
MMM,2020-10-14,11:15:00,168.4333
MMM,2020-10-14,11:20:00,168.4399
MMM,2020-10-14,11:25:00,168.4546
MMM,2020-10-14,11:30:00,168.4769
MMM,2020-10-14,11:35:00,168.4898
MMM,2020-10-14,11:40:00,168.5049
MMM,2020-10-14,11:45:00,168.512
MMM,2020-10-14,11:50:00,168.5127
MMM,2020-10-14,11:55:00,168.5065
MMM,2020-10-14,12:00:00,168.5
MMM,2020-10-14,12:05:00,168.4997
MMM,2020-10-14,12:10:00,168.5035
MMM,2020-10-14,12:15:00,168.506
MMM,2020-10-14,12:20:00,168.5047
MMM,2020-10-14,12:25:00,168.5037
MMM,2020-10-14,12:30:00,168.5036
MMM,2020-10-14,12:35:00,168.5051
MMM,2020-10-14,12:40:00,168.506
MMM,2020-10-14,12:45:00,168.5082
MMM,2020-10-14,12:50:00,168.5133
MMM,2020-10-14,12:55:00,168.5167
MMM,2020-10-14,13:00:00,168.5333
MMM,2020-10-14,13:05:00,168.5584
MMM,2020-10-14,13:10:00,168.5753
MMM,2020-10-14,13:15:00,168.6704
MMM,2020-10-14,13:20:00,168.6826
MMM,2020-10-14,13:25:00,168.6879
MMM,2020-10-14,13:30:00,168.6899
MMM,2020-10-14,13:35:00,168.6903
MMM,2020-10-14,13:40:00,168.6904
