,MMM,algo_volatility,algorithm_period_return,alpha,benchmark_period_return,benchmark_volatility,beta,capital_used,ending_cash,ending_exposure,ending_value,excess_return,gross_leverage,long_exposure,long_mavg,long_value,longs_count,max_drawdown,max_leverage,net_leverage,orders,period_close,period_label,period_open,pnl,portfolio_value,positions,returns,sharpe,short_exposure,short_mavg,short_value,shorts_count,sortino,starting_cash,starting_exposure,starting_value,trading_days,transactions,treasury_period_return
2020-08-12 20:00:00+00:00,164.26,0.015288412315299307,-0.0010578000000001087,,0.0,0.0,,0.0,99894.21999999999,0.0,0.0,0.0,0.0,0.0,156.90233333333333,0.0,0,-0.005919125000000065,0.15626236425957205,0.0,[],2020-08-12 20:00:00+00:00,2020-08,2020-08-12 13:31:00+00:00,0.0,99894.21999999999,[],0.0,-0.418024349671232,0.0,156.297,0.0,0,-0.5791057150920607,99894.21999999999,0.0,0.0,41,[],0.0
2020-08-13 20:00:00+00:00,165.86,0.015100945104581261,-0.0010578000000001087,,0.0,0.0,,0.0,99894.21999999999,0.0,0.0,0.0,0.0,0.0,157.24999999999997,0.0,0,-0.005919125000000065,0.15626236425957205,0.0,"[{'id': 'dfc4d5c0a3a74c2aba0a58e5e4f83b7d', 'dt': Timestamp('2020-08-13 20:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-08-13 20:00:00+0000', tz='UTC'), 'amount': 100, 'filled': 0, 'commission': 0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(4 [MMM]), 'status': 0}]",2020-08-13 20:00:00+00:00,2020-08,2020-08-13 13:31:00+00:00,0.0,99894.21999999999,[],0.0,-0.41313729739191324,0.0,157.671,0.0,0,-0.572170067111747,99894.21999999999,0.0,0.0,42,[],0.0
2020-08-14 20:00:00+00:00,166.1,0.014920781455218966,-0.0011418500000001108,,0.0,0.0,,-16618.404999999995,83275.81499999999,16610.0,16610.0,0.0,0.16628987809730542,16610.0,157.552,16610.0,1,-0.005919125000000065,0.16628987809730542,0.16628987809730542,"[{'id': 'dfc4d5c0a3a74c2aba0a58e5e4f83b7d', 'dt': Timestamp('2020-08-14 20:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-08-13 20:00:00+0000', tz='UTC'), 'amount': 100, 'filled': 100, 'commission': 0.1, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(4 [MMM]), 'status': 1}]",2020-08-14 20:00:00+00:00,2020-08,2020-08-14 13:31:00+00:00,-8.404999999998836,99885.81499999999,"[{'sid': Equity(4 [MMM]), 'amount': 100, 'cost_basis': 166.18404999999996, 'last_sale_price': 166.1}]",-8.413900223658288e-05,-0.4414493858216466,0.0,159.23399999999998,0.0,0,-0.6111264815443972,99894.21999999999,0.0,0.0,43,"[{'amount': 100, 'dt': Timestamp('2020-08-14 20:00:00+0000', tz='UTC'), 'price': 166.18304999999998, 'order_id': 'dfc4d5c0a3a74c2aba0a58e5e4f83b7d', 'sid': Equity(4 [MMM]), 'commission': None}]",0.0
2020-08-17 20:00:00+00:00,164.71,0.015103990682896204,-0.002531850000000113,,0.0,0.0,,0.0,83275.81499999999,16471.0,16471.0,0.0,0.16512807952815337,16471.0,157.7723333333333,16471.0,1,-0.005919125000000065,0.16628987809730542,0.16512807952815337,[],2020-08-17 20:00:00+00:00,2020-08,2020-08-17 13:31:00+00:00,-139.0,99746.81499999999,"[{'sid': Equity(4 [MMM]), 'amount': 100, 'cost_basis': 166.18404999999996, 'last_sale_price': 164.71}]",-0.0013915889858835406,-0.9538591783080405,0.0,160.664,0.0,0,-1.2905828902822731,83275.81499999999,16610.0,16610.0,44,[],0.0
2020-08-18 20:00:00+00:00,164.38,0.014945405748840864,-0.0028618500000001657,,0.0,0.0,,0.0,83275.81499999999,16438.0,16438.0,0.0,0.1648517810696542,16438.0,158.09099999999998,16438.0,1,-0.005919125000000065,0.16628987809730542,0.1648517810696542,[],2020-08-18 20:00:00+00:00,2020-08,2020-08-18 13:31:00+00:00,-33.0,99713.81499999999,"[{'sid': Equity(4 [MMM]), 'amount': 100, 'cost_basis': 166.18404999999996, 'last_sale_price': 164.38}]",-0.0003308376312567418,-1.0665226363456664,0.0,161.981,0.0,0,-1.4403832113445205,83275.81499999999,16471.0,16471.0,45,[],0.0
2020-08-19 20:00:00+00:00,163.97,0.014800832192809867,-0.003271850000000187,,0.0,0.0,,0.0,83275.81499999999,16397.0,16397.0,0.0,0.16450824630567523,16397.0,158.404,16397.0,1,-0.005919125000000065,0.16628987809730542,0.16450824630567523,[],2020-08-19 20:00:00+00:00,2020-08,2020-08-19 13:31:00+00:00,-41.0,99672.81499999999,"[{'sid': Equity(4 [MMM]), 'amount': 100, 'cost_basis': 166.18404999999996, 'last_sale_price': 163.97}]",-0.0004111767261136823,-1.205718255523907,0.0,162.84300000000002,0.0,0,-1.6241739700330888,83275.81499999999,16438.0,16438.0,46,[],0.0
2020-08-20 20:00:00+00:00,162.97,0.014797443238993976,-0.004271850000000188,,0.0,0.0,,0.0,83275.81499999999,16297.0,16297.0,0.0,0.16366917014448173,16297.0,158.788,16297.0,1,-0.005919125000000065,0.16628987809730542,0.16366917014448173,[],2020-08-20 20:00:00+00:00,2020-08,2020-08-20 13:31:00+00:00,-100.0,99572.81499999999,"[{'sid': Equity(4 [MMM]), 'amount': 100, 'cost_basis': 166.18404999999996, 'last_sale_price': 162.97}]",-0.0010032825901425957,-1.543864116911191,0.0,163.54000000000002,0.0,0,-2.0552645073583644,83275.81499999999,16397.0,16397.0,47,[],0.0
2020-08-21 20:00:00+00:00,161.71,0.014884579502046325,-0.005531850000000227,,0.0,0.0,,0.0,83275.81499999999,16171.0,16171.0,0.0,0.16260953153703317,16171.0,157.69703333333334,16171.0,1,-0.005919125000000065,0.16628987809730542,0.16260953153703317,[],2020-08-21 20:00:00+00:00,2020-08,2020-08-21 13:31:00+00:00,-126.0,99446.81499999999,"[{'sid': Equity(4 [MMM]), 'amount': 100, 'cost_basis': 166.18404999999996, 'last_sale_price': 161.71}]",-0.0012654056230106958,-1.9491769063002793,0.0,162.54559999999998,0.0,0,-2.550607573296669,83275.81499999999,16297.0,16297.0,48,[],0.0
2020-08-24 20:00:00+00:00,163.53,0.015375165010991548,-0.003711850000000294,,0.0,0.0,,0.0,83275.81499999999,16353.0,16353.0,0.0,0.1641392603133943,16353.0,158.03456666666665,16353.0,1,-0.005919125000000065,0.16628987809730542,0.1641392603133943,[],2020-08-24 20:00:00+00:00,2020-08,2020-08-24 13:31:00+00:00,182.0,99628.81499999999,"[{'sid': Equity(4 [MMM]), 'amount': 100, 'cost_basis': 166.18404999999996, 'last_sale_price': 163.53}]",0.0018301239712905648,-1.236313040645343,0.0,162.90019999999998,0.0,0,-1.6884238357085624,83275.81499999999,16171.0,16171.0,49,[],0.0
2020-08-25 20:00:00+00:00,163.1,0.0152384599554621,-0.0041418500000003355,,0.0,0.0,,0.0,83275.81499999999,16310.0,16310.0,0.0,0.16377834533964503,16310.0,158.23423333333332,16310.0,1,-0.005919125000000065,0.16628987809730542,0.16377834533964503,[],2020-08-25 20:00:00+00:00,2020-08,2020-08-25 13:31:00+00:00,-43.0,99585.81499999999,"[{'sid': Equity(4 [MMM]), 'amount': 100, 'cost_basis': 166.18404999999996, 'last_sale_price': 163.1}]",-0.00043160204203973596,-1.365204949695916,0.0,163.0196,0.0,0,-1.8596190612444885,83275.81499999999,16353.0,16353.0,50,[],0.0
2020-08-26 20:00:00+00:00,163.9,0.015213290676636432,-0.0033418500000004236,,0.0,0.0,,0.0,83275.81499999999,16390.0,16390.0,0.0,0.16444956578140663,16390.0,158.43446666666665,16390.0,1,-0.005919125000000065,0.16628987809730542,0.16444956578140663,[],2020-08-26 20:00:00+00:00,2020-08,2020-08-26 13:31:00+00:00,80.0,99665.81499999999,"[{'sid': Equity(4 [MMM]), 'amount': 100, 'cost_basis': 166.18404999999996, 'last_sale_price': 163.9}]",0.0008033272610159514,-1.0797351742868904,0.0,163.1318,0.0,0,-1.4829467463199024,83275.81499999999,16310.0,16310.0,51,[],0.0
2020-08-27 20:00:00+00:00,164.08,0.015073116946964782,-0.0031618500000004657,,0.0,0.0,,0.0,83275.81499999999,16408.0,16408.0,0.0,0.16460044190724443,16408.0,158.60206666666664,16408.0,1,-0.005919125000000065,0.16628987809730542,0.16460044190724443,[],2020-08-27 20:00:00+00:00,2020-08,2020-08-27 13:31:00+00:00,18.0,99683.81499999999,"[{'sid': Equity(4 [MMM]), 'amount': 100, 'cost_basis': 166.18404999999996, 'last_sale_price': 164.08}]",0.00018060354997340156,-1.010753227679812,0.0,163.10340000000002,0.0,0,-1.3888326954917058,83275.81499999999,16390.0,16390.0,52,[],0.0
2020-08-28 20:00:00+00:00,165.66,0.015352633714949916,-0.0015818500000004398,,0.0,0.0,,0.0,83275.81499999999,16566.0,16566.0,0.0,0.16592246445039088,16566.0,158.84446666666665,16566.0,1,-0.005919125000000065,0.16628987809730542,0.16592246445039088,[],2020-08-28 20:00:00+00:00,2020-08,2020-08-28 13:31:00+00:00,158.0,99841.81499999999,"[{'sid': Equity(4 [MMM]), 'amount': 100, 'cost_basis': 166.18404999999996, 'last_sale_price': 165.66}]",0.0015850115688289534,-0.48274867278687433,0.0,163.2092,0.0,0,-0.6820904460347187,83275.81499999999,16408.0,16408.0,53,[],0.0
2020-08-31 20:00:00+00:00,163.02,0.016222277402414283,-0.004221850000000527,,0.0,0.0,,0.0,83275.81499999999,16302.000000000002,16302.000000000002,0.0,0.16371116397763905,16302.000000000002,159.11313333333334,16302.000000000002,1,-0.005919125000000065,0.16628987809730542,0.16371116397763905,[],2020-08-31 20:00:00+00:00,2020-08,2020-08-31 13:31:00+00:00,-264.0,99577.81499999999,"[{'sid': Equity(4 [MMM]), 'amount': 100, 'cost_basis': 166.18404999999996, 'last_sale_price': 163.02}]",-0.0026441827004046736,-1.2090616506358862,0.0,163.18880000000001,0.0,0,-1.6094828265230428,83275.81499999999,16566.0,16566.0,54,[],0.0
2020-09-01 20:00:00+00:00,164.8,0.016559951128697778,-0.0024418500000005228,,0.0,0.0,,0.0,83275.81499999999,16480.0,16480.0,0.0,0.16520340192699545,16480.0,159.39390000000003,16480.0,1,-0.005919125000000065,0.16628987809730542,0.16520340192699545,[],2020-09-01 20:00:00+00:00,2020-09,2020-09-01 13:31:00+00:00,178.0,99755.81499999999,"[{'sid': Equity(4 [MMM]), 'amount': 100, 'cost_basis': 166.18404999999996, 'last_sale_price': 164.8}]",0.001787546754264513,-0.668293393588453,0.0,163.3791,0.0,0,-0.9165090562034464,83275.81499999999,16302.000000000002,16302.000000000002,55,[],0.0
2020-09-02 20:00:00+00:00,169.51,0.019272741542869735,0.002268149999999469,,0.0,0.0,,0.0,83275.81499999999,16951.0,16951.0,0.0,0.16912639596499202,16951.0,159.80163333333337,16951.0,1,-0.005919125000000065,0.16912639596499202,0.16912639596499202,[],2020-09-02 20:00:00+00:00,2020-09,2020-09-02 13:31:00+00:00,471.0,100226.81499999999,"[{'sid': Equity(4 [MMM]), 'amount': 100, 'cost_basis': 166.18404999999996, 'last_sale_price': 169.51}]",0.004721529266238811,0.5384599309779756,0.0,164.081,0.0,0,0.8672016574645185,83275.81499999999,16480.0,16480.0,56,[],0.0
2020-09-03 20:00:00+00:00,166.31,0.02027418826665728,-0.0009318500000005114,,0.0,0.0,,0.0,83275.81499999999,16631.0,16631.0,0.0,0.16646512052255896,16631.0,160.08353333333338,16631.0,1,-0.005919125000000065,0.16912639596499202,0.16646512052255896,[],2020-09-03 20:00:00+00:00,2020-09,2020-09-03 13:31:00+00:00,-320.0,99906.81499999999,"[{'sid': Equity(4 [MMM]), 'amount': 100, 'cost_basis': 166.18404999999996, 'last_sale_price': 166.31}]",-0.003192758345159419,-0.1933402557551409,0.0,164.56199999999998,0.0,0,-0.28760202630544285,83275.81499999999,16951.0,16951.0,57,[],0.0
2020-09-04 20:00:00+00:00,165.77,0.020125325934737287,-0.0014718500000004964,,0.0,0.0,,0.0,83275.81499999999,16577.0,16577.0,0.0,0.1660143482184253,16577.0,160.3292666666667,16577.0,1,-0.005919125000000065,0.16912639596499202,0.1660143482184253,[],2020-09-04 20:00:00+00:00,2020-09,2020-09-04 13:31:00+00:00,-54.0,99852.81499999999,"[{'sid': Equity(4 [MMM]), 'amount': 100, 'cost_basis': 166.18404999999996, 'last_sale_price': 165.77}]",-0.0005405036683433506,-0.3081007962878529,0.0,164.968,0.0,0,-0.45733441021232163,83275.81499999999,16631.0,16631.0,58,[],0.0
2020-09-08 20:00:00+00:00,163.17000000000002,0.02065088803208755,-0.004071850000000432,,0.0,0.0,,0.0,83275.81499999999,16317.000000000002,16317.000000000002,0.0,0.163837120177796,16317.000000000002,160.37600000000006,16317.000000000002,1,-0.006325652471346979,0.16912639596499202,0.163837120177796,[],2020-09-08 20:00:00+00:00,2020-09,2020-09-08 13:31:00+00:00,-260.0,99592.81499999999,"[{'sid': Equity(4 [MMM]), 'amount': 100, 'cost_basis': 166.18404999999996, 'last_sale_price': 163.17000000000002}]",-0.0026038324507926536,-0.8337165632320946,0.0,164.932,0.0,0,-1.1890270517631634,83275.81499999999,16577.0,16577.0,59,[],0.0
