BRL_TO,DATA,HORA,OPEN,HIGH,LOW,CLOSE
GBP,2020-11-04,08:45:00,7.4405,7.4405,7.4381,7.4381
GBP,2020-11-04,08:30:00,7.4263,7.4363,7.4263,7.4363
GBP,2020-11-04,08:15:00,7.4353,7.4353,7.426,7.426
GBP,2020-11-04,08:00:00,7.433,7.4415,7.433,7.4415
GBP,2020-11-04,07:45:00,7.4486,7.4486,7.4399,7.4399
GBP,2020-11-04,07:30:00,7.4602,7.4629,7.4507,7.4507
GBP,2020-11-04,07:15:00,7.4586,7.4607,7.4586,7.459
GBP,2020-11-04,07:00:00,7.4598,7.4626,7.4598,7.4626
GBP,2020-11-04,06:45:00,7.4647,7.4647,7.4551,7.4551
GBP,2020-11-04,06:30:00,7.4629,7.4661,7.4629,7.4656
GBP,2020-11-04,06:15:00,7.4584,7.4677,7.4584,7.4677
GBP,2020-11-04,06:00:00,7.4606,7.4641,7.4606,7.462
GBP,2020-11-04,05:45:00,7.4696,7.4712,7.4625,7.4625
GBP,2020-11-04,05:30:00,7.4715,7.4715,7.4689,7.4707
GBP,2020-11-04,05:15:00,7.4634,7.4753,7.4634,7.4753
GBP,2020-11-04,05:00:00,7.469,7.469,7.4646,7.4646
GBP,2020-11-04,04:45:00,7.4731,7.4731,7.4667,7.4667
GBP,2020-11-04,04:30:00,7.4591,7.4647,7.4532,7.4647
GBP,2020-11-04,04:15:00,7.4673,7.4673,7.4667,7.4669
GBP,2020-11-04,04:00:00,7.4717,7.4717,7.4684,7.4707
GBP,2020-11-04,03:45:00,7.4635,7.4782,7.4635,7.4782
GBP,2020-11-04,03:30:00,7.4636,7.4697,7.4636,7.4672
GBP,2020-11-04,03:15:00,7.4591,7.4609,7.4584,7.4609
GBP,2020-11-04,03:00:00,7.4512,7.4602,7.4512,7.4518
GBP,2020-11-04,02:45:00,7.4521,7.4521,7.4391,7.4391
GBP,2020-11-04,02:30:00,7.4798,7.4798,7.4604,7.4616
GBP,2020-11-04,02:15:00,7.492,7.492,7.4871,7.4905
GBP,2020-11-04,02:00:00,7.4857,7.4952,7.4849,7.4849
GBP,2020-11-04,01:45:00,7.4812,7.4878,7.4794,7.4878
GBP,2020-11-04,01:30:00,7.4903,7.4941,7.4769,7.4769
GBP,2020-11-04,01:15:00,7.4923,7.4967,7.4923,7.4959
GBP,2020-11-04,01:00:00,7.5031,7.5031,7.4779,7.4779
GBP,2020-11-04,00:45:00,7.5279,7.5279,7.5105,7.5105
GBP,2020-11-04,00:30:00,7.5429,7.5429,7.5264,7.5264
GBP,2020-11-04,00:15:00,7.5363,7.5476,7.5363,7.5476
GBP,2020-11-04,00:00:00,7.5303,7.5383,7.5303,7.5383
GBP,2020-11-03,23:45:00,7.5395,7.5395,7.5362,7.5362
GBP,2020-11-03,23:30:00,7.5281,7.5298,7.5281,7.5298
GBP,2020-11-03,23:15:00,7.5168,7.524,7.5168,7.524
GBP,2020-11-03,23:00:00,7.5223,7.5223,7.5118,7.5118
