SYMB,DATA_OP,HORA_OP,MKT_OPEN,HIGH,LOW,MKT_CLOSE,VOLUME
MMM,2020-11-03,14:54:00,165.4753,165.4753,165.35,165.35,2137
MMM,2020-11-03,14:53:00,165.47,165.4753,165.43,165.4753,2882
MMM,2020-11-03,14:52:00,165.67,165.67,165.53,165.53,2874
MMM,2020-11-03,14:51:00,165.62,165.64,165.575,165.63,3842
MMM,2020-11-03,14:50:00,165.39,165.67,165.39,165.62,3082
MMM,2020-11-03,14:49:00,165.36,165.42,165.31,165.38,3494
MMM,2020-11-03,14:48:00,165.3,165.3,165.26,165.26,687
MMM,2020-11-03,14:47:00,165.41,165.425,165.32,165.33,3203
MMM,2020-11-03,14:46:00,165.4,165.46,165.38,165.4,1994
MMM,2020-11-03,14:45:00,165.43,165.45,165.36,165.4,2901
MMM,2020-11-03,14:44:00,165.38,165.44,165.33,165.43,1905
MMM,2020-11-03,14:43:00,165.29,165.37,165.29,165.35,3428
MMM,2020-11-03,14:42:00,165.31,165.364,165.2632,165.2632,3590
MMM,2020-11-03,14:41:00,165.2,165.3,165.2,165.3,3122
MMM,2020-11-03,14:40:00,165.27,165.27,165.19,165.22,3697
MMM,2020-11-03,14:39:00,165.215,165.2269,165.21,165.2269,1295
MMM,2020-11-03,14:38:00,165.26,165.29,165.19,165.23,4475
MMM,2020-11-03,14:37:00,165.097,165.18,165.097,165.16,3196
MMM,2020-11-03,14:36:00,165.03,165.06,164.97,165.03,5262
MMM,2020-11-03,14:35:00,164.76,165.1,164.735,165.1,5857
MMM,2020-11-03,14:34:00,164.73,164.74,164.68,164.74,1651
MMM,2020-11-03,14:33:00,164.77,164.84,164.61,164.74,4158
MMM,2020-11-03,14:32:00,164.44,164.84,164.44,164.84,6061
MMM,2020-11-03,14:31:00,164.46,164.47,164.35,164.36,2412
